,0,1,2,3,4,5,6
45,12437,"Aug 24, 2024
10:30 AM PDT",Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,1 - 7,South Valley United Soccer Club South Valley United G15 White,Sanger Academy Charter School - 7V7,Silver/Bronze - Region 7
46,12435,"Aug 24, 2024
1:00 PM PDT",Kings County Soccer Club Kings County 15G White,4 - 3,Clovis Crossfire  15G White,Hanford Soccer Complex - Comp 5,Silver/Bronze - Region 7
47,12436,"Aug 25, 2024
11:00 AM PDT",ALBION SC Central Valley ALBION SC Central Valley G15 Academy,0 - 4,Tulare Force Tulare Force 2015 Girls Blue,Buchanan High School  - Field 4,Silver/Bronze - Region 7
48,12468,"Sep 07, 2024
9:30 AM PDT",Central Valley Premier FC Central Valley Premier FC Elite G15,3 - 2,South Valley United Soccer Club South Valley United G15 White,Riverway Sports Park - Field 1N,Silver/Bronze - Region 7
49,12442,"Sep 07, 2024
11:00 AM PDT",Clovis Crossfire  15G White,1 - 2,Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,Granite Park - Granite Park 7v7,Silver/Bronze - Region 7
50,12439,"Sep 07, 2024
11:30 AM PDT",Tulare Force Tulare Force 2015 Girls Blue,2 - 2,Kings County Soccer Club Kings County 15G White,Elk Bayou Soccer Complex - Field 5 Center 7v7,Silver/Bronze - Region 7
51,12441,"Sep 07, 2024
12:30 PM PDT",FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,4 - 2,ALBION SC Central Valley ALBION SC Central Valley G15 Academy,West Fresno Middle School - Field 5 - 7v7,Silver/Bronze - Region 7
52,12446,"Sep 14, 2024
9:00 AM PDT",Kings County Soccer Club Kings County 15G White,-,Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,Hanford Soccer Complex - Comp 5,Silver/Bronze - Region 7
53,12445,"Sep 14, 2024
10:30 AM PDT",Central Valley Premier FC Central Valley Premier FC Elite G15,-,Clovis Crossfire  15G White,Riverway Sports Park - Field 1S,Silver/Bronze - Region 7
54,12443,"Sep 14, 2024
11:30 AM PDT",Tulare Force Tulare Force 2015 Girls Blue,-,FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,Elk Bayou Soccer Complex - Field 5 Center 7v7,Silver/Bronze - Region 7
55,12444,"Sep 14, 2024
12:30 PM PDT",ALBION SC Central Valley ALBION SC Central Valley G15 Academy,-,South Valley United Soccer Club South Valley United G15 White,Buchanan High School  - Field 4,Silver/Bronze - Region 7
56,12447,"Sep 21, 2024
8:00 AM PDT",Clovis Crossfire  15G White,-,ALBION SC Central Valley ALBION SC Central Valley G15 Academy,Granite Park - Granite Park 7v7,Silver/Bronze - Region 7
57,12449,"Sep 21, 2024
9:00 AM PDT",Kings County Soccer Club Kings County 15G White,-,Central Valley Premier FC Central Valley Premier FC Elite G15,Hanford Soccer Complex - Comp 6,Silver/Bronze - Region 7
58,12448,"Sep 21, 2024
12:30 PM PDT",FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,-,Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,West Fresno Middle School - Field 5 - 7v7,Silver/Bronze - Region 7
59,12438,"Sep 22, 2024
10:30 AM PDT",Central Valley Premier FC Central Valley Premier FC Elite G15,-,FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,Riverway Sports Park - Field 1N,Silver/Bronze - Region 7
60,12457,"Sep 28, 2024
11:00 AM PDT",ALBION SC Central Valley ALBION SC Central Valley G15 Academy,-,Kings County Soccer Club Kings County 15G White,Buchanan High School  - Field 4,Silver/Bronze - Region 7
61,12454,"Oct 05, 2024
9:00 AM PDT",Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,-,ALBION SC Central Valley ALBION SC Central Valley G15 Academy,Sanger Academy Charter School - 7V7,Silver/Bronze - Region 7
62,12451,"Oct 05, 2024
11:00 AM PDT",Clovis Crossfire  15G White,-,South Valley United Soccer Club South Valley United G15 White,Granite Park - Granite Park 7v7,Silver/Bronze - Region 7
63,12452,"Oct 05, 2024
12:30 PM PDT",FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,-,Kings County Soccer Club Kings County 15G White,West Fresno Middle School - Field 5 - 7v7,Silver/Bronze - Region 7
64,12453,"Oct 05, 2024
4:30 PM PDT",Central Valley Premier FC Central Valley Premier FC Elite G15,-,Tulare Force Tulare Force 2015 Girls Blue,Riverway Sports Park - Field 1S,Silver/Bronze - Region 7
65,12458,"Oct 12, 2024
12:30 PM PDT",South Valley United Soccer Club South Valley United G15 White,-,FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,Neighborhood Church-SVU Soccer Fields -  Field 4,Silver/Bronze - Region 7
66,12455,"Oct 12, 2024
1:30 PM PDT",Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,-,Central Valley Premier FC Central Valley Premier FC Elite G15,Sanger Academy Charter School - 7V7,Silver/Bronze - Region 7
67,12460,"Oct 19, 2024
8:00 AM PDT",Clovis Crossfire  15G White,-,FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,Granite Park - Granite Park 7v7,Silver/Bronze - Region 7
68,12462,"Oct 19, 2024
8:00 AM PDT",Central Valley Premier FC Central Valley Premier FC Elite G15,-,ALBION SC Central Valley ALBION SC Central Valley G15 Academy,Riverway Sports Park - Field 1S,Silver/Bronze - Region 7
69,12461,"Oct 19, 2024
10:00 AM PDT",Tulare Force Tulare Force 2015 Girls Blue,-,Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,Elk Bayou Soccer Complex - Field 5 Center 7v7,Silver/Bronze - Region 7
70,12459,"Oct 19, 2024
12:30 PM PDT",South Valley United Soccer Club South Valley United G15 White,-,Kings County Soccer Club Kings County 15G White,Neighborhood Church-SVU Soccer Fields -  Field 4,Silver/Bronze - Region 7
71,12467,"Oct 20, 2024
11:00 AM PDT",Kings County Soccer Club Kings County 15G White,-,Tulare Force Tulare Force 2015 Girls Blue,Hanford Soccer Complex - Comp 5,Silver/Bronze - Region 7
72,12456,"Nov 09, 2024
10:00 AM PST",Tulare Force Tulare Force 2015 Girls Blue,-,Clovis Crossfire  15G White,Elk Bayou Soccer Complex - Field 5 Center 7v7,Silver/Bronze - Region 7
73,12463,"Nov 16, 2024
9:30 AM PST",Clovis Crossfire  15G White,-,Kings County Soccer Club Kings County 15G White,Granite Park - Granite Park 7v7,Silver/Bronze - Region 7
74,12465,"Nov 16, 2024
12:30 PM PST",South Valley United Soccer Club South Valley United G15 White,-,Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,Neighborhood Church-SVU Soccer Fields -  Field 4,Silver/Bronze - Region 7
75,12466,"Nov 16, 2024
12:30 PM PST",FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,-,Central Valley Premier FC Central Valley Premier FC Elite G15,West Fresno Middle School - Field 5 - 7v7,Silver/Bronze - Region 7
76,12464,"Nov 16, 2024
1:00 PM PST",Tulare Force Tulare Force 2015 Girls Blue,-,ALBION SC Central Valley ALBION SC Central Valley G15 Academy,Elk Bayou Soccer Complex - Field 5 West 7v7,Silver/Bronze - Region 7
77,12450,"Nov 17, 2024
2:00 PM PST",South Valley United Soccer Club South Valley United G15 White,-,Tulare Force Tulare Force 2015 Girls Blue,Neighborhood Church-SVU Soccer Fields -  Field 4,Silver/Bronze - Region 7
78,12470,"Nov 23, 2024
9:00 AM PST",Sanger FC Sanger FC - RIPMC FC 15 Girls - Melody,-,Clovis Crossfire  15G White,Sanger Academy Charter School - 7V7,Silver/Bronze - Region 7
79,12469,"Nov 23, 2024
11:00 AM PST",ALBION SC Central Valley ALBION SC Central Valley G15 Academy,-,FRESNO HEAT FC FRESNO HEAT FC 2015G Starlettes,Buchanan High School  - Field 4,Silver/Bronze - Region 7
80,12440,"Nov 23, 2024
2:00 PM PST",South Valley United Soccer Club South Valley United G15 White,-,Central Valley Premier FC Central Valley Premier FC Elite G15,Neighborhood Church-SVU Soccer Fields - Field 3,Silver/Bronze - Region 7
81,12606,"Aug 17, 2024
11:45 AM PDT",Placer United Soccer Club Placer United 15G Black,2 - 2,Yuba Elite FC Yuba Elite FC 15G Black,Glen Willow Park - Glen Willow Park 7v7,Bronze - Region 6 East 2
82,12585,"Aug 17, 2024
2:00 PM PDT",Roseville Youth Soccer Club Roseville SC 2015G Black,7 - 1,Truckee River United FC TRU FC 15 Girls,Maidu Soccer Complex - Maidu Field 6A,Bronze - Region 6 East 2
83,12580,"Aug 24, 2024
9:00 AM PDT",Granite Bay FC Chaos 15,4 - 5,Roseville Youth Soccer Club Roseville SC 2015G Black,Bayside Sports Fields - Field #2,Bronze - Region 6 East 2
84,12581,"Aug 24, 2024
10:00 AM PDT",Butte United Soccer Club BUSC 2015G Gold,1 - 4,Truckee River United FC TRU FC 15 Girls,Riverbend Park - Field 1-7,Bronze - Region 6 East 2
85,12598,"Aug 24, 2024
1:00 PM PDT",Yuba Elite FC Yuba Elite FC 15G Black,2 - 2,Truckee River United FC TRU FC 15 Girls,Olivehurst Community Park - Field #1 (7v7),Bronze - Region 6 East 2
86,12605,"Sep 07, 2024
10:30 AM PDT",Granite Bay FC Chaos 15,2 - 0,Truckee River United FC TRU FC 15 Girls,Granite Bay Community Park - Field #1,Bronze - Region 6 East 2
87,12582,"Sep 07, 2024
10:30 AM PDT",Roseville Youth Soccer Club Roseville SC 2015G Black,0 - 1,Rocklin FC Rocklin FC 15G Grey,Maidu Soccer Complex - Maidu Field 6A,Bronze - Region 6 East 2
88,12583,"Sep 07, 2024
1:00 PM PDT",Placer United Soccer Club Placer United 15G Black,6 - 2,Butte United Soccer Club BUSC 2015G Gold,Glen Willow Park - Glen Willow Park 7v7,Bronze - Region 6 East 2
89,12586,"Sep 14, 2024
9:00 AM PDT",Granite Bay FC Chaos 15,-,Placer United Soccer Club Placer United 15G Black,Bayside Sports Fields - Field #2,Bronze - Region 6 East 2
90,12587,"Sep 14, 2024
10:00 AM PDT",Butte United Soccer Club BUSC 2015G Gold,-,Yuba Elite FC Yuba Elite FC 15G Black,Riverbend Park - Field 1-7,Bronze - Region 6 East 2
91,12604,"Sep 15, 2024
12:30 PM PDT",Butte United Soccer Club BUSC 2015G Gold,-,Placer United Soccer Club Placer United 15G Black,Riverbend Park - Field 1-7,Bronze - Region 6 East 2
92,12590,"Sep 21, 2024
9:15 AM PDT",Placer United Soccer Club Placer United 15G Black,-,Roseville Youth Soccer Club Roseville SC 2015G Black,Glen Willow Park - Glen Willow Park 7v7,Bronze - Region 6 East 2
93,12588,"Sep 21, 2024
11:45 AM PDT",Yuba Elite FC Yuba Elite FC 15G Black,-,Granite Bay FC Chaos 15,Riverside Meadows Park - School Field (7v7),Bronze - Region 6 East 2
94,12589,"Sep 21, 2024
2:45 PM PDT",Rocklin FC Rocklin FC 15G Grey,-,Butte United Soccer Club BUSC 2015G Gold,Margaret Azevedo Park - Lower Field 7v7,Bronze - Region 6 East 2
95,12596,"Sep 22, 2024
10:45 AM PDT",Truckee River United FC TRU FC 15 Girls,-,Placer United Soccer Club Placer United 15G Black,Riverview Sports Park  - Joan Kelly,Bronze - Region 6 East 2
96,12579,"Sep 22, 2024
11:00 AM PDT",Rocklin FC Rocklin FC 15G Grey,-,Yuba Elite FC Yuba Elite FC 15G Black,Margaret Azevedo Park - Lower Field 7v7,Bronze - Region 6 East 2
97,12591,"Oct 05, 2024
9:15 AM PDT",Yuba Elite FC Yuba Elite FC 15G Black,-,Placer United Soccer Club Placer United 15G Black,Riverside Meadows Park - School Field (7v7),Bronze - Region 6 East 2
98,12593,"Oct 05, 2024
10:00 AM PDT",Butte United Soccer Club BUSC 2015G Gold,-,Roseville Youth Soccer Club Roseville SC 2015G Black,Riverbend Park - Field 1-7,Bronze - Region 6 East 2
99,12602,"Oct 06, 2024
10:45 AM PDT",Truckee River United FC TRU FC 15 Girls,-,Butte United Soccer Club BUSC 2015G Gold,Riverview Sports Park  - Joan Kelly,Bronze - Region 6 East 2
100,12594,"Oct 12, 2024
1:30 PM PDT",Roseville Youth Soccer Club Roseville SC 2015G Black,-,Yuba Elite FC Yuba Elite FC 15G Black,Maidu Soccer Complex - Maidu Field 6A,Bronze - Region 6 East 2
101,12595,"Oct 12, 2024
2:45 PM PDT",Rocklin FC Rocklin FC 15G Grey,-,Granite Bay FC Chaos 15,Kathy Lund Park - One 7v7,Bronze - Region 6 East 2
102,12592,"Oct 13, 2024
12:45 PM PDT",Truckee River United FC TRU FC 15 Girls,-,Rocklin FC Rocklin FC 15G Grey,Riverview Sports Park  - Joan Kelly,Bronze - Region 6 East 2
103,12599,"Oct 19, 2024
10:30 AM PDT",Granite Bay FC Chaos 15,-,Butte United Soccer Club BUSC 2015G Gold,Bayside Sports Fields - Field #2,Bronze - Region 6 East 2
104,12597,"Oct 19, 2024
10:30 AM PDT",Placer United Soccer Club Placer United 15G Black,-,Rocklin FC Rocklin FC 15G Grey,Glen Willow Park - Glen Willow Park 7v7,Bronze - Region 6 East 2
105,12584,"Oct 20, 2024
10:45 AM PDT",Truckee River United FC TRU FC 15 Girls,-,Granite Bay FC Chaos 15,Riverview Sports Park  - Joan Kelly,Bronze - Region 6 East 2
106,12601,"Nov 16, 2024
12:00 PM PST",Roseville Youth Soccer Club Roseville SC 2015G Black,-,Granite Bay FC Chaos 15,Mel Hamel Park - Mel Hammel 1,Bronze - Region 6 East 2
107,12600,"Nov 16, 2024
2:15 PM PST",Yuba Elite FC Yuba Elite FC 15G Black,-,Rocklin FC Rocklin FC 15G Grey,Riverside Meadows Park - School Field (7v7),Bronze - Region 6 East 2
108,12603,"Nov 23, 2024
11:00 AM PST",Rocklin FC Rocklin FC 15G Grey,-,Roseville Youth Soccer Club Roseville SC 2015G Black,Kathy Lund Park - One 7v7,Bronze - Region 6 East 2
109,12547,"Aug 24, 2024
5:00 PM PDT",North Marin United North Marin United '15 Girls Esteem,3 - 2,Mill Valley Soccer Club MVSC Rockers White 2015,Hill Recreation Area - Field B,Bronze South - Region 5
110,12522,"Sep 07, 2024
9:00 AM PDT",Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,3 - 4,North Marin United North Marin United '15 Girls Esteem,McKegney Green - McKegney Green 1 - 7v7,Bronze South - Region 5
111,12523,"Sep 07, 2024
2:00 PM PDT",Ross Valley Breakers FC Breakers 15G,5 - 2,Corte Madera Football Club Corte Madera FC Girls White 2015,"Manor Elementary - 150 Oak Manor Drive, Fairfax",Bronze South - Region 5
112,12525,"Sep 14, 2024
9:00 AM PDT",Corte Madera Football Club Corte Madera FC Girls White 2015,-,North Marin United North Marin United '15 Girls Esteem,Town Park Corte Madera - Field H,Bronze South - Region 5
113,12527,"Sep 14, 2024
1:00 PM PDT",Mill Valley Soccer Club MVSC Rockers White 2015,-,Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,Alto Field - Alto West,Bronze South - Region 5
114,12526,"Sep 14, 2024
1:45 PM PDT",Marin FC Marin FC G15Steel,-,Ross Valley Breakers FC Breakers 15G,Hall Middle School - Hall Middle School,Bronze South - Region 5
115,12530,"Sep 21, 2024
11:30 AM PDT",Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,-,Marin FC Marin FC G15Steel,McKegney Green - McKegney Green 1 - 7v7,Bronze South - Region 5
116,12528,"Sep 21, 2024
2:45 PM PDT",Mill Valley Soccer Club MVSC Rockers White 2015,-,Corte Madera Football Club Corte Madera FC Girls White 2015,Alto Field - Alto West,Bronze South - Region 5
117,12521,"Sep 22, 2024
12:00 PM PDT",Corte Madera Football Club Corte Madera FC Girls White 2015,-,Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,Town Park Corte Madera - Field H,Bronze South - Region 5
118,12539,"Sep 22, 2024
4:30 PM PDT",Mill Valley Soccer Club MVSC Rockers White 2015,-,Marin FC Marin FC G15Steel,Bayfront Park - Bell/Ropers,Bronze South - Region 5
119,12533,"Oct 05, 2024
2:00 PM PDT",Ross Valley Breakers FC Breakers 15G,-,Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,"Manor Elementary - 150 Oak Manor Drive, Fairfax",Bronze South - Region 5
120,12532,"Oct 05, 2024
4:30 PM PDT",Mill Valley Soccer Club MVSC Rockers White 2015,-,North Marin United North Marin United '15 Girls Esteem,Alto Field - Alto West,Bronze South - Region 5
121,12531,"Oct 05, 2024
5:00 PM PDT",Corte Madera Football Club Corte Madera FC Girls White 2015,-,Marin FC Marin FC G15Steel,Town Park Corte Madera - Field H,Bronze South - Region 5
122,12535,"Oct 12, 2024
11:00 AM PDT",Marin FC Marin FC G15Steel,-,North Marin United North Marin United '15 Girls Esteem,College of Marin - Mackey Field (grass) -- 7v7 (U9/U10),Bronze South - Region 5
123,12534,"Oct 12, 2024
11:30 AM PDT",Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,-,Corte Madera Football Club Corte Madera FC Girls White 2015,McKegney Green - McKegney Green 1 - 7v7,Bronze South - Region 5
124,12536,"Oct 12, 2024
2:00 PM PDT",Ross Valley Breakers FC Breakers 15G,-,Mill Valley Soccer Club MVSC Rockers White 2015,"White Hill Middle School West - Field Two - 101 Glen Drive, Fairfax, CA 94930",Bronze South - Region 5
125,12519,"Oct 13, 2024
9:00 AM PDT",North Marin United North Marin United '15 Girls Esteem,-,Marin FC Marin FC G15Steel,Hill Recreation Area - Field A,Bronze South - Region 5
126,12548,"Oct 13, 2024
11:00 AM PDT",Tiburon Peninsula Soccer Club TPSC Sharks 2015 Girls,-,Ross Valley Breakers FC Breakers 15G,McKegney Green - McKegney Green 1 - 7v7,Bronze South - Region 5
127,12544,"Oct 13, 2024
4:00 PM PDT",Corte Madera Football Club Corte Madera FC Girls White 2015,-,Mill Valley Soccer Club MVSC Rockers White 2015,Town Park Corte Madera - Field H,Bronze South - Region 5
